10570 sample, 497 chars
要 -- 22 times,  0.21%
合 -- 23 times,  0.22%
且 -- 13 times,  0.12%
外 -- 10 times,  0.09%
会 -- 19 times,  0.18%
造 -- 20 times,  0.19%
两 -- 29 times,  0.27%
被 -- 20 times,  0.19%
未 -- 24 times,  0.23%
般 -- 15 times,  0.14%
河 -- 15 times,  0.14%
嘴 -- 20 times,  0.19%
然 -- 26 times,  0.25%
方 -- 32 times,  0.30%
场 -- 22 times,  0.21%
线 -- 25 times,  0.24%
放 -- 20 times,  0.19%
见 -- 24 times,  0.23%
必 -- 21 times,  0.20%
反 -- 24 times,  0.23%
经 -- 16 times,  0.15%
科 -- 23 times,  0.22%
员 -- 19 times,  0.18%
坚 -- 25 times,  0.24%
话 -- 19 times,  0.18%
知 -- 21 times,  0.20%
早 -- 25 times,  0.24%
士 -- 19 times,  0.18%
马 -- 21 times,  0.20%
年 -- 23 times,  0.22%
席 -- 27 times,  0.26%
吃 -- 22 times,  0.21%
的 -- 25 times,  0.24%
切 -- 16 times,  0.15%
验 -- 33 times,  0.31%
五 -- 18 times,  0.17%
星 -- 22 times,  0.21%
走 -- 19 times,  0.18%
枪 -- 24 times,  0.23%
是 -- 23 times,  0.22%
等 -- 20 times,  0.19%
讲 -- 25 times,  0.24%
改 -- 22 times,  0.21%
岸 -- 38 times,  0.36%
总 -- 26 times,  0.25%
片 -- 19 times,  0.18%
准 -- 21 times,  0.20%
何 -- 29 times,  0.27%
教 -- 24 times,  0.23%
也 -- 18 times,  0.17%
来 -- 29 times,  0.27%
令 -- 23 times,  0.22%
牧 --  1 times,  0.01%
火 -- 24 times,  0.23%
问 -- 11 times,  0.10%
共 -- 18 times,  0.17%
声 -- 16 times,  0.15%
史 -- 34 times,  0.32%
更 -- 15 times,  0.14%
老 -- 16 times,  0.15%
上 -- 29 times,  0.27%
后 -- 24 times,  0.23%
底 -- 27 times,  0.26%
算 -- 15 times,  0.14%
沙 -- 21 times,  0.20%
军 -- 14 times,  0.13%
业 -- 18 times,  0.17%
股 --  4 times,  0.04%
用 -- 23 times,  0.22%
个 -- 26 times,  0.25%
第 -- 27 times,  0.26%
离 -- 19 times,  0.18%
为 -- 14 times,  0.13%
便 -- 12 times,  0.11%
睡 -- 27 times,  0.26%
歌 -- 11 times,  0.10%
受 -- 19 times,  0.18%
晚 -- 22 times,  0.21%
民 -- 12 times,  0.11%
强 -- 18 times,  0.17%
以 -- 27 times,  0.26%
跳 -- 24 times,  0.23%
色 -- 22 times,  0.21%
顶 -- 20 times,  0.19%
应 -- 27 times,  0.26%
直 -- 17 times,  0.16%
清 -- 17 times,  0.16%
指 -- 18 times,  0.17%
领 -- 16 times,  0.15%
六 -- 21 times,  0.20%
完 -- 23 times,  0.22%
钱 -- 10 times,  0.09%
树 -- 23 times,  0.22%
北 -- 21 times,  0.20%
级 -- 17 times,  0.16%
弟 -- 27 times,  0.26%
群 -- 22 times,  0.21%
这 -- 21 times,  0.20%
术 -- 21 times,  0.20%
阵 -- 21 times,  0.20%
真 -- 27 times,  0.26%
人 -- 17 times,  0.16%
际 -- 20 times,  0.19%
今 -- 20 times,  0.19%
前 -- 11 times,  0.10%
住 -- 30 times,  0.28%
字 -- 25 times,  0.24%
菜 -- 16 times,  0.15%
几 -- 15 times,  0.14%
门 -- 24 times,  0.23%
八 -- 18 times,  0.17%
雪 -- 34 times,  0.32%
产 -- 12 times,  0.11%
建 -- 12 times,  0.11%
导 -- 24 times,  0.23%
使 -- 22 times,  0.21%
各 -- 22 times,  0.21%
最 -- 27 times,  0.26%
师 -- 17 times,  0.16%
再 -- 30 times,  0.28%
而 -- 18 times,  0.17%
成 -- 21 times,  0.20%
少 -- 19 times,  0.18%
气 -- 30 times,  0.28%
化 -- 21 times,  0.20%
力 -- 19 times,  0.18%
到 -- 19 times,  0.18%
水 -- 19 times,  0.18%
边 -- 17 times,  0.16%
常 -- 16 times,  0.15%
所 -- 24 times,  0.23%
么 -- 22 times,  0.21%
立 -- 30 times,  0.28%
啊 -- 20 times,  0.19%
种 -- 19 times,  0.18%
行 -- 19 times,  0.18%
发 -- 13 times,  0.12%
结 -- 17 times,  0.16%
面 -- 21 times,  0.20%
忙 -- 21 times,  0.20%
句 -- 19 times,  0.18%
停 -- 17 times,  0.16%
非 -- 40 times,  0.38%
代 -- 24 times,  0.23%
慢 -- 25 times,  0.24%
日 -- 17 times,  0.16%
学 -- 34 times,  0.32%
机 -- 28 times,  0.26%
七 -- 14 times,  0.13%
如 -- 22 times,  0.21%
历 -- 18 times,  0.17%
有 -- 21 times,  0.20%
越 -- 15 times,  0.14%
小 -- 22 times,  0.21%
笑 -- 18 times,  0.17%
送 -- 22 times,  0.21%
次 -- 33 times,  0.31%
己 -- 37 times,  0.35%
性 -- 23 times,  0.22%
别 -- 27 times,  0.26%
阳 -- 27 times,  0.26%
冲 -- 17 times,  0.16%
样 -- 17 times,  0.16%
家 -- 27 times,  0.26%
刻 -- 17 times,  0.16%
十 -- 26 times,  0.25%
观 -- 12 times,  0.11%
识 -- 20 times,  0.19%
